,Ren̩ Stulz,Jeremy Stein,Raghuram Rajan,Luigi Zingales,Andrei Shleifer,Robert Vishny,Ross Levine,Asli Demirguc-Kunt,Florencio Lopez-de-Silanes,Rafael La Porta,John Campbell,Michael Jensen,Joshua Aizenman,Barry Eichengreen,Kenneth French,Andrew Rose,Robert Shiller,Mark Gertler,Maurice Obstfeld,Robert Merton,Eugene Fama,Robert Engle,Ben Bernanke,Joseph Stiglitz,Jeffrey Frankel,James Poterba,Lawrence Summers,Alan Auerbach,Michael McAleer,Elhanan Helpman,Robert Barro,Christopher Baum,Martin Feldstein,Jean Tirole,Kenneth Rogoff,Edward Prescott,Martin Eichenbaum,Timothy Besley,Stephen J Turnovsky,Robert Hall,Guillermo Calvo,Tim Bollerslev,Daron Acemoglu,Lars Svensson,Francis Diebold,Carmen Reinhart,N. Gregory Mankiw,John Taylor,John List,M Pesaran,Olivier Blanchard,Alan Krueger,John Whalley,Michael Woodford,Dani Rodrik,Peter Diamond,Richard Freeman,Paul Milgrom,Ernst Fehr,Bruno Frey,Robert King,David Romer,Alberto Alesina,Jordi Gali,Clive Granger,Thomas Sargent,Martin Ravallion,Robert Lucas,Clement Tisdell,David Card,Jacques Thisse,Christopher Sims,Richard Blundell,Jerry Hausman,Peter Nijkamp,Edward Glaeser,Angus Deaton,Robert Gordon,Lawrence Christiano,Lars Hansen,Paul Krugman,James Stock,Jean-Jacques Laffont,Friedrich Schneider,James Heckman,Lawrence Katz,Halbert White,Mark Watson,Gary Becker,Peter Phillips,Drew Fudenberg,Joshua Angrist,Hans-Werner Sinn,Jeffrey Wooldridge,Ilhan Ozturk,George Borjas,Whitney Newey,Nicholas Cox,Donald Andrews,Ben Jann,V1
Ren̩ Stulz,1,0.042416033,0.086183416,0.061981213,0.069121994,0.099783231,0.056834964,0.30649461,0.094165822,0.276639411,0.015244014,0.310461681,0.070905683,0.135097439,0.036640194,0.23328983,0.179954133,0.056134573,0.059448612,0.271872967,0.157473172,0.073200051,0.031123594,0.140055615,0.0485044,0.093047022,0.030822351,0.076230039,0.132075682,0.08517419,0.135111799,0.120510543,0.093955197,0.187789923,0.128158002,0.044955453,0.133372497,0.050094223,0.057997411,0.036884387,0.115077637,0.068498619,0.279588071,0.081243033,0.153598057,0.033161276,0.144959068,0.018714435,0.056970196,0.11220385,0.050335284,0.046479895,0.151367092,0.046901845,0.029441904,0.042850503,0.104312474,0.068626131,0.124810688,0.074243098,0.089938181,0.069266105,0.022380414,0.048210913,0.088051663,0.04459243,0.085696114,0.066078427,0.01411265,0.124419263,0.06988464,0.074759319,0.135604278,0.241551194,0.102817349,0.061414791,0.043678321,0.047061773,0.029805026,0.218770307,0.227521509,0.087286854,0.121794197,0.164868452,0.031983343,0.08988517,0.081230523,0.0862332,0.101073678,0.03884888,0.018510077,0.14453835,0.049399853,0.153998545,0.10897935,0.240699062,0.051698109,0.050415432,0.130332368,0.216158494,Ren̩ Stulz
Jeremy Stein,0.310461681,0.052704611,0.088937283,0.093054956,0.098404783,0.11484471,0.082616601,0.289490497,0.10075413,0.248160259,0.026475328,1,0.075835431,0.131118371,0.050231921,0.109393973,0.167346764,0.063647046,0.052201868,0.177665227,0.130290206,0.070627144,0.044146218,0.160183059,0.055664591,0.11325821,0.023858192,0.124672361,0.158633906,0.104682588,0.143189578,0.099664058,0.093732619,0.156486382,0.13555314,0.068462703,0.11897318,0.077716799,0.089379591,0.073306106,0.153594283,0.072337967,0.166595543,0.088277389,0.21234162,0.057488729,0.141063428,0.033110815,0.067903694,0.124267774,0.064293488,0.060678041,0.14033349,0.059348526,0.034745047,0.054532468,0.123826295,0.123746067,0.114455738,0.078692028,0.110911652,0.062755035,0.026918487,0.084590196,0.077790865,0.069920423,0.090655378,0.081103531,0.017742449,0.122361082,0.075967482,0.089503104,0.161552928,0.189552348,0.098110826,0.090948982,0.096126894,0.081938535,0.038082693,0.22047655,0.103296134,0.13088629,0.115141123,0.147578105,0.081179156,0.121452846,0.082339655,0.119399426,0.110901208,0.056342447,0.022623995,0.125184601,0.070936725,0.182234562,0.110782803,0.21466293,0.102340948,0.055912592,0.120068273,0.140108925,Jeremy Stein
Raghuram Rajan,0.30649461,0.06202066,0.098504814,0.052409289,0.0893604,0.109101718,0.068439748,1,0.168416527,0.205411367,0.018491213,0.289490497,0.063374925,0.140590332,0.062274144,0.104710496,0.267185313,0.079302363,0.098458218,0.143746991,0.164269916,0.093012205,0.042073325,0.086376515,0.087686267,0.166339972,0.03326423,0.133383649,0.12579141,0.101667043,0.191175316,0.107672569,0.038212403,0.21696576,0.07983078,0.049339229,0.093315968,0.078892016,0.144305854,0.044824753,0.190420905,0.123074656,0.296840179,0.109691352,0.240444725,0.041363513,0.102465811,0.022810992,0.084619847,0.17339183,0.052496596,0.077061941,0.178990449,0.034409813,0.035266723,0.059700426,0.103829455,0.117757012,0.132739701,0.091134049,0.102106561,0.078662179,0.028737305,0.065579564,0.131741857,0.078077409,0.076773408,0.078150811,0.023500981,0.121492374,0.100798888,0.130946042,0.186882203,0.261394362,0.181626485,0.080201915,0.048839733,0.077119338,0.029082555,0.126264464,0.09322796,0.101190044,0.119708411,0.058636406,0.050218917,0.082646322,0.117277954,0.135557904,0.12654067,0.055097341,0.023723726,0.07040034,0.078209028,0.127716936,0.125124153,0.372059016,0.090052813,0.060647134,0.112631552,0.169832114,Raghuram Rajan
Luigi Zingales,0.279588071,0.074867872,0.116707057,0.044277383,0.054662489,0.096574263,0.088843654,0.296840179,0.062870472,0.23418728,0.023323881,0.166595543,0.062252398,0.086551301,0.07000614,0.163251574,0.116508185,0.065622165,0.051342943,0.144648748,0.084458388,0.100372709,0.043600216,0.061832974,0.056292879,0.131956557,0.027138946,0.055434943,0.109381034,0.079542934,0.132918662,0.105020476,0.034206142,0.108700788,0.081550329,0.043021632,0.131511854,0.094834633,0.048552845,0.030694926,0.143428839,0.149986853,1,0.08457367,0.092647123,0.045041681,0.11438238,0.021290221,0.089610614,0.096311616,0.073880366,0.049779431,0.084486006,0.040044026,0.029066874,0.059946174,0.056180242,0.063157159,0.101046121,0.098521685,0.046524423,0.109111491,0.023391649,0.054502855,0.052326097,0.058998522,0.072709157,0.047934464,0.027664404,0.121060159,0.16719607,0.075443653,0.084824473,0.151747156,0.143882933,0.074205295,0.081513842,0.044383255,0.033426138,0.119358173,0.140887108,0.08228762,0.105195842,0.063376377,0.064831258,0.054094926,0.08372348,0.062117852,0.084293729,0.046995289,0.019254067,0.06892011,0.125250594,0.119991651,0.080918342,0.150666991,0.054056314,0.072015704,0.113896434,0.177491426,Luigi Zingales
Andrei Shleifer,0.276639411,0.081995295,0.12262876,0.061612279,0.075661183,0.108324373,0.092289002,0.205411367,0.155161776,1,0.023220529,0.248160259,0.098470856,0.116001795,0.10017011,0.66345713,0.189547966,0.136053348,0.092784385,0.61774824,0.103161664,0.136127372,0.078590616,0.074756865,0.067168225,0.22463772,0.031682586,0.090986099,0.258529914,0.152810379,0.233812283,0.133121317,0.0560644,0.137791172,0.088291755,0.052188893,0.136461531,0.148122809,0.084430232,0.043039001,0.211515821,0.160846316,0.23418728,0.116979535,0.143530383,0.047579856,0.098408797,0.031091619,0.086105364,0.140366077,0.114279287,0.148342347,0.102778661,0.06120574,0.033565228,0.078630068,0.084770237,0.089966313,0.13196673,0.125255746,0.071973498,0.153571017,0.042384872,0.067773919,0.167724014,0.134015988,0.072386872,0.062602119,0.024257401,0.147883359,0.128140388,0.202756036,0.122102343,0.282799024,0.208562752,0.108280722,0.120073103,0.115369519,0.036320388,0.154355963,0.639568946,0.109534222,0.0866583,0.087445579,0.076358994,0.087567633,0.110423258,0.080676747,0.112662813,0.084496224,0.023386748,0.097598722,0.21895167,0.145611227,0.101116074,0.246770508,0.077458162,0.124610106,0.130786923,0.087445861,Andrei Shleifer
Robert Vishny,0.271872967,0.045296776,0.064346551,0.029173138,0.04197067,0.062684667,0.049490866,0.143746991,0.234993777,0.61774824,0.016665346,0.177665227,0.076323345,0.072064558,0.057036546,0.592161638,0.185122162,0.17627271,0.045539858,1,0.059949631,0.096957738,0.030778947,0.043364726,0.029082196,0.149614778,0.026052577,0.051314074,0.224661756,0.169817372,0.273357269,0.092374215,0.026730702,0.102762818,0.05255733,0.028305048,0.094755617,0.163426822,0.044744654,0.024285503,0.165256175,0.093726394,0.144648748,0.056075541,0.093947363,0.02601238,0.060783899,0.022320642,0.044591476,0.162444084,0.113846514,0.255576201,0.062255674,0.028553132,0.01496877,0.04240889,0.040797278,0.048313875,0.084345718,0.053658969,0.048666523,0.128145537,0.044047261,0.045176745,0.311573346,0.163895736,0.046635387,0.037654468,0.018139859,0.073694787,0.056332903,0.281074929,0.096113427,0.183564425,0.136237396,0.061789403,0.054820787,0.167115945,0.020413739,0.094803201,0.589521583,0.05633357,0.060256676,0.072430039,0.032901157,0.041649736,0.065193531,0.053571354,0.061144808,0.094826322,0.020976929,0.069997779,0.066846467,0.092368143,0.058078733,0.159316767,0.034179942,0.17210395,0.10135919,0.079611576,Robert Vishny
Ross Levine,0.241551194,0.044171833,0.069622265,0.046595051,0.111741498,0.077037244,0.055491824,0.261394362,0.10193271,0.282799024,0.021623975,0.189552348,0.037755018,0.104778844,0.061988374,0.263931817,0.173132065,0.044023858,0.078053353,0.183564425,0.116445036,0.091194668,0.034198755,0.095714619,0.071055377,0.134367219,0.026208615,0.130896257,0.121481722,0.083618758,0.122277948,0.095409,0.047417868,0.157578585,0.084187996,0.046329055,0.089259917,0.065491636,0.076791446,0.039980165,0.116295972,0.119819036,0.151747156,0.098282363,0.17954681,0.043913493,0.073065939,0.026506739,0.09027187,0.105501575,0.060993442,0.042306715,0.133452419,0.042381629,0.045352424,0.062399692,0.08373235,0.085245015,0.104332126,0.064641245,0.091917691,0.052735323,0.036280139,0.064555698,0.066427895,0.079059871,0.073482535,0.065011901,0.01348414,0.101958266,0.060800136,0.110034291,0.143556047,1,0.121682724,0.071256904,0.049286029,0.058097876,0.03105113,0.12668273,0.200398373,0.088509732,0.106669598,0.046484933,0.024956284,0.081934538,0.094217121,0.095822752,0.120795738,0.05011744,0.012938382,0.050113368,0.089029855,0.093388573,0.098069241,0.53784982,0.061347731,0.05880775,0.10300602,0.057203886,Ross Levine
Asli Demirguc-Kunt,0.240699062,0.06589422,0.072381587,0.043951894,0.081354315,0.069114388,0.068830369,0.372059016,0.104863388,0.246770508,0.022293824,0.21466293,0.043980864,0.129858014,0.064143642,0.210864671,0.202984409,0.054717463,0.108763252,0.159316767,0.127592766,0.089981432,0.03676584,0.090852025,0.076387182,0.123978237,0.029499549,0.131041956,0.107964671,0.08553948,0.172303272,0.125227204,0.037671311,0.192953661,0.078328054,0.043620594,0.115610439,0.068179987,0.080044121,0.040217452,0.121694541,0.112058088,0.150666991,0.111079709,0.19664861,0.037583771,0.087416226,0.024013875,0.077701473,0.132910424,0.0569856,0.047428659,0.123221736,0.026078101,0.034472453,0.060512381,0.088727399,0.106695084,0.098292392,0.086172093,0.080859469,0.054433784,0.034238846,0.053197031,0.094749895,0.073903338,0.060605211,0.065724245,0.023336415,0.114999904,0.060703945,0.113508685,0.147901001,0.53784982,0.15042268,0.062532411,0.063982576,0.061384359,0.027919179,0.126401444,0.164816624,0.081507796,0.123600205,0.064578289,0.028695748,0.084290611,0.104608317,0.104077449,0.111294695,0.056340841,0.015224951,0.072771144,0.071394237,0.094447317,0.113873193,1,0.076147163,0.060463115,0.112780158,0.052895159,Asli Demirguc-Kunt
Florencio Lopez-de-Silanes,0.23328983,0.040163655,0.053463391,0.026006041,0.037044997,0.056101143,0.052433497,0.104710496,0.204450215,0.66345713,0.020683853,0.109393973,0.060244047,0.06526119,0.052602179,1,0.161799252,0.161864088,0.051516694,0.592161638,0.060081193,0.0972037,0.02894228,0.028997042,0.035135895,0.121818834,0.025149085,0.035244645,0.195586214,0.152574971,0.232148434,0.090817254,0.01625502,0.09269067,0.041014152,0.02754262,0.094552511,0.161988423,0.043062012,0.02386491,0.142715568,0.09761705,0.163251574,0.062241944,0.055358401,0.034160881,0.055267148,0.020771251,0.045847914,0.150204552,0.114904771,0.222080625,0.054033505,0.030999161,0.02001055,0.038950464,0.03779331,0.037659428,0.076713774,0.060712572,0.034806133,0.113106103,0.044418469,0.050578978,0.274246491,0.154577248,0.047344031,0.035116273,0.010668764,0.090957959,0.06348192,0.249751689,0.048635049,0.263931817,0.111167102,0.063299723,0.058727797,0.142586705,0.021866821,0.071538593,0.884077744,0.046095035,0.050350277,0.048681388,0.023529864,0.031670644,0.05217795,0.059525426,0.06982822,0.089257151,0.013563463,0.053421588,0.089602021,0.072390503,0.062938374,0.210864671,0.033408001,0.158398384,0.092069909,0.072127115,Florencio Lopez-de-Silanes
Rafael La Porta,0.227521509,0.035632197,0.043058532,0.027982322,0.031674863,0.045684629,0.045886024,0.09322796,0.219766434,0.639568946,0.020347732,0.103296134,0.058888718,0.050996497,0.042691713,0.884077744,0.144811509,0.168865885,0.04479874,0.589521583,0.046935184,0.088371924,0.025388468,0.028692249,0.031378123,0.091409198,0.021969685,0.027454449,0.198803189,0.141841011,0.233247415,0.074100806,0.017067996,0.074521071,0.041199665,0.02960799,0.080238084,0.165462681,0.040406995,0.025977612,0.127570712,0.074316221,0.140887108,0.055938178,0.048234776,0.029853795,0.048002503,0.019113836,0.035964041,0.148014205,0.114322921,0.241703336,0.040840391,0.024603286,0.015337543,0.03540486,0.029495451,0.03776398,0.060705857,0.045017516,0.030102024,0.107893576,0.046013843,0.043211575,0.298742823,0.153932112,0.043804493,0.031760602,0.009651002,0.084332757,0.063534942,0.249605975,0.043883506,0.200398373,0.081341487,0.052730902,0.047082014,0.155811802,0.019642883,0.076487718,1,0.036306084,0.04805615,0.055921275,0.02212324,0.035839473,0.042915032,0.049616053,0.063173543,0.09519416,0.010215107,0.058066495,0.073574085,0.07139558,0.046678371,0.164816624,0.027246458,0.161246373,0.07929094,0.056492217,Rafael La Porta
